ECA,,,
China,Dandong Sevsuns Trading Co. Ltd,IT & Office Supplies,"3 4,674.00"
China,Beijing Xintongjiu Science & Trade Co.,IT & Office Supplies,"3 3,733.03"
China,Dandong Zhongwei Industrial Trading Corporation,IT & Office Supplies,"3 0,234.72"
China,"Beijing Bio-Meditech Co., Ltd",Laboratory Supplies,"280,754.72"
China,Beijing Global Links Medical Technology Ltd.,Laboratory Supplies,"143,257.71"
China,Zhe Jiang Daji Medical Instrument Co. Ltd.,Laboratory Supplies,"4 0,050.00"
China,"China National Medical Equipment Co., Ltd",Laboratory Supplies,"3 9,899.21"
China,"Salt Research Institute, China National Salt Corp.",Laboratory Supplies,"3 5,836.00"
China,Moneray International Ltd.,Medical Equipment,"269,250.00"
China,"China National Medical Equipment Co., Ltd",Medical Equipment,"254,844.13"
China,Zhe Jiang Daji Medical Instrument Co. Ltd.,Medical Equipment,"8 2,513.83"
China,Bj Zmxy Tech Development Co. Ltd.,Medical Equipment,"3 8,672.80"
China,"Beijing Fu Ming Hao Tian International Trade Co., Ltd",Medical Kits,"4 2,674.53"
China,Occupational Safety And Health (Beijing) Ltd,Medical Renewable,"104,189.47"
China,ITI Company (Shanghai) Ltd.,Medical Renewable,"9 2,207.20"
China,Qingdao Mehel International,Medical Renewable,"4 4,870.00"
China,Qingdao Biomate Food Stuff Co. Ltd,Nutrition,"307,835.91"
China,"Haier Medical And Laboratory Products Co., Ltd",Other,"9 8,994.36"
China,"Guilin Pharmaceutical Co., Ltd",Pharmaceuticals,"1,881,573.10"
China,Peak International Trade (Tianjin),Pharmaceuticals,"104,832.00"
China,Xinjiang Int. Economic Cooperation Co.,Printing,"244,388.30"
China,"Northern International (Holding) Co., Ltd.",Printing,"214,823.40"
"",Hainan Provincial Postal Business Correspondence Advertisement,,
China,Bureau,Printing,"9 7,705.19"
China,Dandong Zhongwei Industrial Trading Corporation,Printing,"9 6,500.00"
China,"Maxshow Printing Co. Ltd, Beijing",Printing,"6 8,354.93"
China,Qingdao Gyoha Entech Co. Ltd.,Shelter/Field Equip.,"2,935,701.36"
China,Beijing Fuminghaotian,Shelter/Field Equip.,"629,850.00"
China,Xinjiang Int. Economic Cooperation Co.,Shelter/Field Equip.,"100,620.00"
China,"Jincheng Group Imp.& Exp., Co., Ltd",Transport,"211,108.00"
China,Beijing Sanjiangjinke Auto Sales Co.,Transport,"115,737.17"
China,"Anhui Jianghuai Automobiles Co., Ltd",Transport,"8 1,600.00"
China,Dandong Land Trade Company Limited,Transport,"3 1,540.00"
China,"Shanghai Pentagonal Mart Co.,Ltd.",Warehousing,"502,612.53"
China,Xinjiang Int. Economic Cooperation Co.,Warehousing,"236,900.00"
China,Dandong Sevsuns Trading Co. Ltd,Water and Sanitation,"519,596.77"
China,Dandong Land Trade Company Limited,Water and Sanitation,"222,516.58"
China,Xinjiang Int. Economic Cooperation Co.,Water and Sanitation,"173,032.68"
China,Top Sources Trading Ltd,Water and Sanitation,"156,380.00"
China,"Northern International (Holding) Co., Ltd.",Water and Sanitation,"153,175.03"
China,Dandong Zhongwei Industrial Trading Corporation,Water and Sanitation,"150,265.97"
China,"DOFCOM, Guangxi",Water and Sanitation,"131,730.74"
"China, Hong Kong",Euro Suisse International Limited,Education Supplies,"281,692.23"
"China, Hong Kong",A.Andrews & Co.(Mail Order) Ltd.,IT & Office Supplies,"466,022.19"
Colombia,Asia Microcomputadores Ltda.,IT & Office Supplies,"5 7,894.13"
Colombia,Editorial Gente Nueva,Printing,"3 4,869.87"
Comoros,Menuiserie Ramadhane,Education Supplies,"5 2,112.74"
Comoros,Atelier Mohamed,Education Supplies,"4 7,649.44"
Comoros,Socit Nouvelles De Construction/S.N.C Le Beau,Education Supplies,"4 5,226.52"
Comoros,Al Anrif Construction,Education Supplies,"4 4,258.09"
Comoros,Egemo,Nutrition,"136,496.97"
Comoros,Comor' Optic - New Bazar,Nutrition,"6 6,033.32"
Comoros,Euromarche,Nutrition,"4 7,554.29"
Comoros,Graphica Imprimerie,Printing,"8 6,260.39"
"Congo, Republic of the",Atelier Frere Alexandre,Education Supplies,"4 6,702.38"
"Congo, Republic of the",Societe Momo Internationale,Education Supplies,"4 6,559.94"
"Congo, Republic of the",CLO-Services,Education Supplies,"3 8,813.01"
"Congo, Republic of the",ETS M&S,IT & Office Supplies,"4 0,025.20"
"Congo, Republic of the",Prodimpex - Sarl,Transport,"9 3,385.00"
"Congo, Republic of the",Co.Dis.Co,Water and Sanitation,"4 2,884.65"
Costa Rica,"Amde Computers Corporations, S.A.",IT & Office Supplies,"3 0,158.68"
Cote d'Ivoire,Unilever Cote D'Ivoire,Bednets/Insecticides,"149,721.65"
Cote d'Ivoire,2 B Pub,Bednets/Insecticides,"5 3,984.47"
Cote d'Ivoire,Graphicolor,Bednets/Insecticides,"5 3,984.46"
Cote d'Ivoire,S2Po,Bednets/Insecticides,"4 3,997.34"
Cote d'Ivoire,Menuiserie Brou Sarl,Education Supplies,"248,654.38"
Cote d'Ivoire,IDT (Innovation Design Technique),Education Supplies,"134,155.72"
Cote d'Ivoire,Acgim,Education Supplies,"5 2,397.43"
Cote d'Ivoire,Avila Service,Fuel & Lubricants,"189,328.78"
Cote d'Ivoire,Idigaz,Fuel & Lubricants,"128,984.79"
Cote d'Ivoire,Total Cote D'Ivoire,Fuel & Lubricants,"115,645.37"
Cote d'Ivoire,Multi Prestations,Fuel & Lubricants,"107,031.65"
Cote d'Ivoire,Shell Cote D'Ivoire,Fuel & Lubricants,"9 4,356.42"
Cote d'Ivoire,2 B Pub,Identific. & Signage,"7 5,893.61"
Cote d'Ivoire,E.C.M.C,IT & Office Supplies,"111,520.00"
Cote d'Ivoire,Entreprise Mida,IT & Office Supplies,"110,336.93"
Cote d'Ivoire,Entreprise Toure Moussa,IT & Office Supplies,"108,915.52"
Cote d'Ivoire,Ets Alpha,IT & Office Supplies,"7 2,681.06"
Cote d'Ivoire,Cfao Technologies,IT & Office Supplies,"5 4,217.42"
Cote d'Ivoire,Spiral (Sdipm),IT & Office Supplies,"4 9,219.35"
Cote d'Ivoire,BBGC Medical,IT & Office Supplies,"4 2,065.74"
Cote d'Ivoire,Ets Toure Et Freres,IT & Office Supplies,"4 1,980.36"
Cote d'Ivoire,Esquisse,Printing,"8 9,317.35"
Cote d'Ivoire,Lonaci Print,Printing,"8 5,647.39"
Cote d'Ivoire,Kims Imprimerie,Printing,"3 2,248.27"
Cote d'Ivoire,Oceanic Industries S.A.,Shelter/Field Equip.,"3 2,194.45"
Cote d'Ivoire,Africauto,Transport,"4 0,826.48"
Cote d'Ivoire,Unilever Cote D'Ivoire,Water and Sanitation,"166,942.13"
Cote d'Ivoire,Bernabe Ci,Water and Sanitation,"8 0,671.78"
Cote d'Ivoire,Equip Gimat,Water and Sanitation,"5 3,058.04"
Croatia,Stega Tisak D.O.O.,Printing,"3 5,959.30"
Croatia,Grafing,Printing,"3 2,561.29"
Croatia,Denona D.O.O.,Printing,"3 1,028.30"
Cuba,Intel Laboratory Investment,Communication Equip.,"5 8,338.57"
Cuba,Empresa Productora De Prefabricado De Granma,Education Supplies,"3 3,987.16"
Cuba,Lusaka Panama S.A.,Identific. & Signage,"4 5,500.00"
Cuba,Valco Import-Export S.A.,Identific. & Signage,"4 5,120.00"
Cuba,Grupo Kapan Internacional S.A.,IT & Office Supplies,"200,485.63"
Cuba,Grupo Santa Monica Internacional S.A.,IT & Office Supplies,"9 7,546.00"
Cuba,Quattroeffe S.R.L.,IT & Office Supplies,"4 8,839.11"
Cuba,Edetra S.A.,Laboratory Supplies,"5 4,107.59"
Cuba,Quattroeffe S.R.L.,Nutrition,"7 3,784.40"
Cuba,Quattroeffe S.R.L.,Other,"4 7,692.03"
Cuba,D'Vinni S.A.,Printing,"145,722.90"
UNICEF Continued,,,
Cuba,Molinos Trade S.A.,Printing,"3 9,076.00"
Cuba,Quattroeffe S.R.L.,Water and Sanitation,"5 0,064.73"
Cuba,Comercial Figueroa S.R.L.,Water and Sanitation,"4 3,896.88"
Cyprus,Remedica Ltd.,Pharmaceuticals,"5,217,791.77"
Czech Republic,Papirny Brno A.S.,Education Supplies,"193,465.89"
Czech Republic,Papirny Brno A.S.,Printing,"3 2,451.99"
Democratic Rep. of the Congo,Ets Ndamwenge,Clothing & Footwear,"451,900.00"
Democratic Rep. of the Congo,Maison M.L.,Clothing & Footwear,"448,994.00"
Democratic Rep. of the Congo,La Colombiere,Clothing & Footwear,"393,393.00"
Democratic Rep. of the Congo,Qunicaillerie Galaxy,Clothing & Footwear,"8 6,634.00"
Democratic Rep. of the Congo,Ets La Victoire Business,Clothing & Footwear,"5 2,743.00"
Democratic Rep. of the Congo,Ets Lokela - Papeterie Et Divers,Education Supplies,"3 9,381.80"
Democratic Rep. of the Congo,Menuiserie Des Beaux Arts,Education Supplies,"3 5,041.40"
Democratic Rep. of the Congo,Engen DRC,Fuel & Lubricants,"6 8,579.76"
Democratic Rep. of the Congo,Station I.B.B.,Fuel & Lubricants,"4 9,215.18"
Democratic Rep. of the Congo,United Petroleum/Katanga,Fuel & Lubricants,"3 7,051.00"
Democratic Rep. of the Congo,Station Petro Bunia,Fuel & Lubricants,"3 4,898.50"
Democratic Rep. of the Congo,Petrox Congo,Fuel & Lubricants,"3 4,600.80"
Democratic Rep. of the Congo,Prodimpex,IT & Office Supplies,"7 1,650.00"
Democratic Rep. of the Congo,Amwili Sprl/Lubumbashi,Nutrition,"221,432.04"
Democratic Rep. of the Congo,Kinpress (Imprimerie Typo-Ofset),Printing,"295,950.53"
Democratic Rep. of the Congo,Instaprint,Printing,"138,626.78"
Democratic Rep. of the Congo,Societe Missionnaire De Saint Paul/Lubumbashi,Printing,"110,517.00"
Democratic Rep. of the Congo,Bilem Impressions,Printing,"106,480.74"
Democratic Rep. of the Congo,Adneyd,Printing,"105,071.00"
Democratic Rep. of the Congo,AGB S.P.R.L.,Printing,"5 6,987.17"
Democratic Rep. of the Congo,Akor Press,Printing,"4 6,433.70"
Democratic Rep. of the Congo,Congo Graphic,Printing,"3 5,700.00"
Democratic Rep. of the Congo,Prodimpex,Transport,"1,209,560.00"
Democratic Rep. of the Congo,Cfao Motors (Ex-Afrima),Transport,"254,562.06"
Democratic Rep. of the Congo,Ital Motors,Transport,"141,295.00"
Democratic Rep. of the Congo,Ets Tuku Tuku,Transport,"8 6,078.00"
Democratic Rep. of the Congo,Quincaillerie Atlas Des Secteurs,Water and Sanitation,"476,817.62"
Democratic Rep. of the Congo,Maison M.L.,Water and Sanitation,"469,132.26"
Democratic Rep. of the Congo,ASF (Action De Sante Familiale),Water and Sanitation,"102,932.46"
Democratic Rep. of the Congo,Cav  Chagrovet,Water and Sanitation,"9 8,108.30"
Democratic Rep. of the Congo,Quincaillerie Rahim,Water and Sanitation,"5 9,939.00"
Democratic Rep. of the Congo,Societe Kotecha,Water and Sanitation,"4 9,996.60"
Denmark,Vestfrost A/S,Cold Chain Equipment,"1,503,797.89"
Denmark,H. Jessen Jrgensen A/S,Cold Chain Equipment,"8 4,912.88"
Denmark,Danimex Communication A/S,Communication Equip.,"541,080.91"
Denmark,Garmin Danmark A/S,Communication Equip.,"266,258.49"
Denmark,Danoffice Aps,Communication Equip.,"3 5,485.55"
Denmark,Siemens Healthcare Diagnostics Aps,Diagnostic Test Kits,"118,691.72"
Denmark,Alulock Aps,Education Supplies,"182,400.00"
Denmark,Gemini Koncept Huset A/S,Identific. & Signage,"4 3,640.80"
Denmark,Atea A/S,IT & Office Supplies,"12,154,276.09"
Denmark,Canon Danmark A/S,IT & Office Supplies,"386,136.39"
Denmark,Peter Justesen Company A/S,IT & Office Supplies,"297,283.16"
Denmark,Av Center,IT & Office Supplies,"143,819.21"
Denmark,Lyreco A/S,IT & Office Supplies,"111,622.74"
Denmark,Ambu A/S,Medical Equipment,"1,714,975.84"
Denmark,"Procurement Services Branch, Unfpa",Medical Equipment,"246,652.98"
Denmark,Johs. Gram-Hanssen A/S,Medical Equipment,"148,055.04"
Denmark,Dsm Nutritional Products A/S,Nutrition,"623,712.72"
Denmark,Chr. Bardram Health-Care Aps,Nutrition,"252,234.87"
Denmark,Kronlein Import & Export Agencies,Nutrition,"157,147.02"
Denmark,Dsm Nutritional Products A/S,Pharmaceuticals,"254,745.38"
Denmark,Smith & Nephew A/S,Pharmaceuticals,"117,139.68"
Denmark,Novo Nordisk A/S,Pharmaceuticals,"6 0,189.26"
Denmark,Kjaer Group A/S,Transport,"855,986.61"
Denmark,Statens Serum Institut,Vaccines/Biologicals,"1,077,007.52"
Denmark,Dansk Traemballage A/S,Warehousing,"238,360.32"
Denmark,Atlet Danmark A/S,Warehousing,"5 8,470.02"
Denmark,Mc Emballage A/S,Warehousing,"5 1,278.69"
Denmark,Translyft Ergo A/S,Warehousing,"3 3,410.02"
Denmark,Ganket A/S,Warehousing,"3 1,239.64"
Denmark,Psion Teklogix Denmark,Warehousing,"3 0,640.99"
Denmark,Kuehne And Nagel-Copenhagen,Water and Sanitation,"1,515,000.00"
Denmark,Atlas Copco Kompressorteknik A/S,Water and Sanitation,"229,595.13"
Denmark,Tech Instrumentering Aps,Water and Sanitation,"149,712.96"
Denmark,Johs. Gram-Hanssen A/S,Water and Sanitation,"4 8,330.00"
Denmark,Itt Flygt A/S,Water and Sanitation,"3 4,038.55"
Djibouti,Dico,Education Supplies,"3 4,590.00"
Djibouti,Napoleon,Education Supplies,"3 1,613.68"
Djibouti,Total Djibouti,Fuel & Lubricants,"107,407.65"
Djibouti,Imprimerie Rift Valley,Printing,"165,172.93"
Djibouti,Quincaillerie Abdi,Water and Sanitation,"205,161.92"
Djibouti,Quincaillerie Abdoulbasset,Water and Sanitation,"7 8,686.94"
Djibouti,Ets Abdi,Water and Sanitation,"3 2,907.99"
Dominican Republic,Joga Sa,Education Supplies,"181,298.32"
Dominican Republic,Seminsa,Medical Equipment,"293,816.00"
Dominican Republic,Equimecoro,Medical Equipment,"8 3,408.58"
Dominican Republic,Vitaset S.A.,Nutrition,"2,693,535.75"
Dominican Republic,Omnimedia,Printing,"4 5,797.57"
Dominican Republic,"Conadex, C. Por A.",Printing,"3 6,812.87"
East Timor,Jape Dept. Store,Education Supplies,"177,775.00"
East Timor,Boa Ventura,Education Supplies,"8 6,953.15"
East Timor,Sakura Stationery,Education Supplies,"4 4,178.20"
East Timor,Sylvia Dili,Printing,"112,600.00"
East Timor,Boa Ventura,Printing,"6 2,150.70"
East Timor,Grafica Patria,Printing,"4 0,422.00"
East Timor,Grafica Nacional,Printing,"3 2,117.00"
East Timor,Lay Shop,Water and Sanitation,"8 2,761.25"
Egypt,Clinilab,Diagnostic Test Kits,"3 5,374.62"
Egypt,Falcon For Technical And Security Systems,IT & Office Supplies,"3 8,628.76"
Egypt,Al Ahram Commercial Press,Printing,"5 2,652.26"
Egypt,Metropole-Advanced Printing Facilities,Printing,"4 0,640.04"
Egypt,International Group For Trading & Distribution,Transport,"5 3,200.00"
Egypt,International Co. for Manufacture & Assembly of Vehicles,Transport,"5 1,839.46"
Egypt,"El Sharaf For Trading Tools, Nails And Industrial Supplies",Water and Sanitation,"188,038.44"
Egypt,Middle East Caravan,Water and Sanitation,"8 4,849.79"
Egypt,International Scientific Co.,Water and Sanitation,"3 5,249.77"
El Salvador,Libreria La Nueva San Salvador,Education Supplies,"4 1,112.39"
Eritrea,Sipa Sport Items Processing Asmara,Clothing & Footwear,"103,379.47"
Eritrea,Asmara Electric Pvt. Ltd Co.,Communication Equip.,"3 7,583.12"
Eritrea,Lion Sweater Factory,Education Supplies,"108,400.00"
Eritrea,Senait Textile Factory,Education Supplies,"6 1,480.00"
Eritrea,Mahta Wood And Metal Workshop,Education Supplies,"3 9,733.33"
Eritrea,Arag Wood And Metal Workshop,IT & Office Supplies,"4 9,855.73"
Eritrea,Hidri Distribution Company,Water and Sanitation,"139,747.40"
Ethiopia,Ethio-Asian Industries Plc.,Bednets/Insecticides,"4 3,379.63"
Ethiopia,Abader Way  International Business P.L.C,Communication Equip.,"148,114.23"
Ethiopia,Glorious Plc,Communication Equip.,"6 4,201.22"
Ethiopia,Zenebe Ferew Nails Factory,Construction Nonwash,"3 8,555.18"
Ethiopia,Maky Tx Trading,Education Supplies,"848,277.46"
Ethiopia,Fares Stationery Shop,Education Supplies,"473,606.81"
Ethiopia,Oasis Abyssinia Plc.,Education Supplies,"128,533.83"
Ethiopia,Abebe Rahmeto H & O Furniture P.L.C,Education Supplies,"127,589.03"
UNICEF Continued,,,
Ethiopia,Melaku Tadesse Modern Household & Office Production Enterprise,Education Supplies,"9 2,069.96"
Ethiopia,Omer Ahmed Abdulahi (Himilo Furniture),Education Supplies,"7 4,453.58"
Ethiopia,Kk Building Construction Plc.,Education Supplies,"5 9,556.00"
Ethiopia,Abader Way  International Business P.L.C,Education Supplies,"5 4,675.63"
Ethiopia,Addis Development Vision (Adv),Education Supplies,"5 0,593.16"
Ethiopia,Tsedenia Publisher,Education Supplies,"3 4,416.14"
Ethiopia,Mose Furniture,Education Supplies,"3 0,584.46"
Ethiopia,National Oil  Ethiopia  P.L.C  (Noc),Fuel & Lubricants,"143,465.66"
Ethiopia,Total Ethiopia Share. Co.,Fuel & Lubricants,"105,612.04"
Ethiopia,Alta Computec Plc,IT & Office Supplies,"316,000.16"
Ethiopia,Snap Trading And Industry  P.L.C,IT & Office Supplies,"278,911.38"
Ethiopia,Gellatly Hankey & Co. (Red Sea) S.C.,IT & Office Supplies,"116,730.06"
Ethiopia,Melaku Tadesse Modern Household & Office Production Enterprise,IT & Office Supplies,"6 6,176.21"
Ethiopia,Abebe Rahmeto H & O Furniture P.L.C,IT & Office Supplies,"5 8,360.37"
Ethiopia,Information Systems Services,IT & Office Supplies,"4 8,644.55"
Ethiopia,General Mercantile  Plc,IT & Office Supplies,"4 1,617.45"
Ethiopia,Robit Intl . Business  Group Pl.C,IT & Office Supplies,"4 1,161.77"
Ethiopia,Abader Way  International Business P.L.C,IT & Office Supplies,"3 9,496.25"
Ethiopia,Helena Soap Factory,Medical Kits,"392,042.79"
Ethiopia,Oasis Abyssinia Plc.,Medical Kits,"314,156.64"
Ethiopia,Kahel General Business Plc,Medical Kits,"215,621.28"
Ethiopia,Integrated Service For Aids Prevention & Support Organization,Medical Kits,"9 6,640.70"
Ethiopia,Soney Garment Textile General Trading P.L.C.,Medical Renewable,"303,606.08"
Ethiopia,Hilina Enriched Food Processing Center Plc,Nutrition,"8,045,075.70"
Ethiopia,Fits Private Limited Company,Nutrition,"4 9,655.64"
Ethiopia,Africa Printing Plc.,Not Defined,"9 8,867.91"
Ethiopia,Region 5 Transport  Company.,Not Defined,"9 6,986.59"
Ethiopia,"Birtukan Tsegaye Yilma, Amanuel Printing Press",Not Defined,"4 9,019.32"
Ethiopia,Merit Management Consult Plc.,Not Defined,"4 4,433.66"
Ethiopia,Ged Private Limited Company,Not Defined,"3 2,623.21"
Ethiopia,Fares Stationery Shop,Not Defined,"3 2,502.00"
Ethiopia,"Birtukan Tsegaye Yilma, Amanuel Printing Press",Printing,"179,953.24"
Ethiopia,Ged Private Limited Company,Printing,"172,349.90"
Ethiopia,Flamingo Printing Press P.L.C,Printing,"153,069.14"
Ethiopia,Rehobot Printers Plc.,Printing,"127,701.65"
Ethiopia,Fame Leather & Canvas Sewing Factory  P.L.C,Printing,"117,342.30"
Ethiopia,Star Printing Press,Printing,"113,303.23"
Ethiopia,EDM Printing Enterprise,Printing,"6 4,620.12"
Ethiopia,Africa Printing Plc.,Printing,"5 8,194.59"
Ethiopia,Ultimate Printing Press Plc,Printing,"4 1,719.39"
Ethiopia,Tulu Dadi General Trading Plc.,Printing,"3 6,475.09"
Ethiopia,Royal Service Ethiopia Plc,Printing,"3 3,168.93"
Ethiopia,Double S Business Group P.L.C,Shelter/Field Equip.,"598,787.94"
Ethiopia,Getfam Plc.,Shelter/Field Equip.,"337,904.93"
Ethiopia,Bags Family Construction P.L.C.,Shelter/Field Equip.,"192,356.19"
Ethiopia,Debre Berhan Blanket Factory,Shelter/Field Equip.,"125,298.33"
Ethiopia,Kk Private Limited Company,Shelter/Field Equip.,"103,622.86"
Ethiopia,Bisrat P.L.C,Shelter/Field Equip.,"5 6,729.29"
Ethiopia,Avon Industries Plc,Shelter/Field Equip.,"5 5,454.01"
Ethiopia,Hambon General Trading Plc,Shelter/Field Equip.,"4 3,440.45"
Ethiopia,Ethio-Asian Industries Plc.,Shelter/Field Equip.,"3 7,568.79"
Ethiopia,Geshen Transport Pvt. Ltd. Company,Transport,"194,272.30"
Ethiopia,Region 5 Transport  Company,Transport,"178,000.00"
Ethiopia,Moenco,Transport,"6 9,546.26"
Ethiopia,Hagbes P.L.C.,Transport,"5 1,162.97"
Ethiopia,Yared Seifu Household & Office Furniture Trading,Warehousing,"3 9,047.34"
Ethiopia,Bishan Gari Purification Industries Plc.,Water and Sanitation,"203,814.26"
Ethiopia,Population Services International (Psi) Ethiopia,Water and Sanitation,"101,235.06"
Ethiopia,Citrus International Trading Plc,Water and Sanitation,"8 6,506.31"
Ethiopia,Abitimech Engineering P.L.C,Water and Sanitation,"5 1,572.16"
Ethiopia,Habtamu Tadesse Importer & Distributer,Water and Sanitation,"4 5,735.08"
Ethiopia,Avon Industries Plc,Water and Sanitation,"4 3,416.88"
Ethiopia,I.G. Entertainment P.L.C.,Water and Sanitation,"4 3,071.79"
Ethiopia,Rift Valley Water Technology P.L.C,Water and Sanitation,"3 9,165.26"
Ethiopia,Sof Omar Constructution Machinery Rental,Water and Sanitation,"3 6,556.84"
Fiji,Small Medium Business Solutions Ltd,IT & Office Supplies,"5 1,618.56"
Fiji,Ricoh Business Centre,IT & Office Supplies,"3 7,219.71"
Fiji,Quality Print Limited,IT & Office Supplies,"3 5,937.09"
Finland,Porkka Finland Oy,Cold Chain Equipment,"320,251.53"
Finland,Naps Systems Oy,Cold Chain Equipment,"210,160.35"
Finland,Naps Systems Oy,Communication Equip.,"535,133.23"
Finland,Ani Labsystems Ltd. Oy,Diagnostic Test Kits,"8 4,566.08"
Finland,Ab Crown Products Oy,Education Supplies,"169,019.76"
Finland,Pa-Hu Oy,Medical Renewable,"860,337.05"
Finland,Sademan Oy,Nutrition,"4 3,502.08"
France,Zhendre S.A.,Cold Chain Equipment,"1,903,291.35"
France,IEC Telecom,Communication Equip.,"181,374.09"
France,Bio-Rad Laboratories,Diagnostic Test Kits,"4 5,590.61"
France,MP Biomedicals Sarl,Diagnostic Test Kits,"3 0,747.48"
France,Sofip Export,Education Supplies,"162,549.23"
France,Sofip Export,IT & Office Supplies,"979,527.80"
France,Agencinox,Medical Equipment,"562,798.19"
France,Nutriset S.A.S,Nutrition,"57,491,923.75"
France,Africasoins S.A.S,Pharmaceuticals,"5,051,899.62"
France,Nutriset S.A.S,Pharmaceuticals,"1,578,527.28"
France,Laboratoire Renaudin,Pharmaceuticals,"654,703.46"
France,Panpharma S. A.,Pharmaceuticals,"606,527.57"
France,Centrale Humanitaire,Pharmaceuticals,"390,372.77"
France,Guerbet S.A.,Pharmaceuticals,"3 3,860.28"
France,Hachette Livre International,Printing,"180,276.83"
France,Médecins Sans Frontières,Printing,"102,496.68"
France,Sanofi Pasteur,Vaccines/Biologicals,"91,839,442.60"
France,Vergnet Hydro,Water and Sanitation,"1,861,529.88"
France,Sovema,Water and Sanitation,"318,032.50"
France,Tenesol S.A.,Water and Sanitation,"163,905.72"
France,Pronal S.A.,Water and Sanitation,"113,790.39"
France,Iris Instruments,Water and Sanitation,"4 4,501.38"
France,LMS World Water Treatment Groupe GM,Water and Sanitation,"3 9,773.08"
Gambia,Nomm Company Limited,Bednets/Insecticides,"3 4,646.95"
Gambia,Elton Gambia,Fuel & Lubricants,"4 6,202.42"
Georgia,Diozeri Ltd,Construction Nonwash,"3 2,691.01"
Georgia,Favorite Studio Ltd,Printing,"9 4,269.69"
Germany,Boss Pro-Tec Gmbh,Cold Chain Equipment,"341,999.66"
Germany,Phaesun Gmbh,Cold Chain Equipment,"138,038.53"
Germany,Copack Gmbh,Diagnostic Test Kits,"200,685.65"
Germany,Abbott Gmbh & Co KG,Diagnostic Test Kits,"5 8,485.43"
Germany,Boss Pro-Tec Gmbh,Education Supplies,"7 9,423.00"
Germany,Partec Gmbh,Laboratory Supplies,"1,356,029.47"
Germany,Deutsche Gesellschaft Fr Technisch,Laboratory Supplies,"773,811.59"
Germany,Roche Diagnostics Gmbh,Laboratory Supplies,"478,855.26"
Germany,Abbott Gmbh & Co KG,Laboratory Supplies,"279,046.10"
Germany,Deutsche Gesellschaft Fr Technisch,Medical Equipment,"276,302.79"
Germany,Rudolf Riester Gmbh,Medical Equipment,"100,672.82"
Germany,Medicon EG,Medical Equipment,"6 6,822.39"
Germany,Chempatex Medizinische,Medical Renewable,"990,239.61"
Germany,KD Medical Gmbh Hospital Products,Medical Renewable,"611,234.68"
Germany,Helm Pharmaceuticals Gmbh,Medical Renewable,"285,039.00"
UNICEF Continued,,,
Germany,Helm Medical Gmbh,Medical Renewable,"259,854.00"
Germany,"Henke-Sass, Wolf Gmbh",Medical Renewable,"133,830.19"
Germany,Troge Medical Gmbh,Medical Renewable,"4 1,544.93"
Germany,Msi Gmbh,Nutrition,"2,753,848.80"
Germany,SECA Gmbh & Co. Kg.,Nutrition,"1,479,627.01"
Germany,Muehlenchemie Gmbh & Co. KG,Nutrition,"114,597.84"
Germany,KBI Kunststoffbeutel Prod. Gmbh & Co.,Pharmaceuticals,"5,736,136.95"
Germany,Deutsche Gesellschaft Fr Technisch,Pharmaceuticals,"3,099,765.35"
Germany,"Lomapharm, Rudolf Lohmann Gmbh KG",Pharmaceuticals,"2,175,717.45"
Germany,Rotexmedica Gmbh,Pharmaceuticals,"624,694.72"
Germany,B. Braun Melsungen AG,Pharmaceuticals,"133,619.58"
Germany,Speedliner Mobility Gmbh,Transport,"195,384.00"
Germany,Smurfit Kappa Wellpappenwerk Waren,Warehousing,"432,021.79"
Germany,Phaesun Gmbh,Water and Sanitation,"290,579.28"
Germany,GWE Pumpenboese Gmbh,Water and Sanitation,"270,499.45"
Germany,Asantys Systems Gmbh,Water and Sanitation,"260,846.94"
Germany,Promens Packaging Gmbh,Water and Sanitation,"158,022.66"
Germany,Bernt Lorentz Gmbh & Co KG,Water and Sanitation,"107,251.29"
Germany,Fleischhacker Gmbh & Co.Kg,Water and Sanitation,"8 4,615.14"
Germany,Motorenfabrik Hatz Gmbh & Co KG,Water and Sanitation,"7 8,847.26"
Germany,Tintometer Gmbh,Water and Sanitation,"5 2,652.26"
Ghana,Pure Faith Ent.,Bednets/Insecticides,"440,615.38"
Ghana,Kingdom Books & Stationary Enterprise,Education Supplies,"5 7,431.96"
Ghana,Pro Web,Education Supplies,"4 2,819.31"
Ghana,Krif (Ghana) Ltd.,Education Supplies,"3 2,871.37"
Ghana,Ahenfie Furniture Works,IT & Office Supplies,"9 9,101.69"
Ghana,Kingdom Books & Stationary Enterprise,IT & Office Supplies,"3 4,575.56"
Ghana,Royal Crown Press Ltd.,Printing,"233,037.47"
Ghana,Buck Press Limited,Printing,"8 8,764.55"
Ghana,Koy Printing Ltd.,Printing,"6 4,655.17"
Ghana,Type,Printing,"4 6,968.71"
Ghana,Sharp Impressions,Printing,"4 1,875.68"
Ghana,Select Business Solutions,Printing,"3 7,652.39"
Ghana,Universal Literacy Company,Printing,"3 3,899.52"
Ghana,God Shadow Ent.,Transport,"5 1,488.03"
Ghana,Cool Keep Trading Agency,Water and Sanitation,"394,946.12"
Ghana,Overstep Agency,Water and Sanitation,"358,083.85"
Ghana,God Shadow Ent.,Water and Sanitation,"8 8,959.27"
Ghana,Kuul Trade Enterprise,Water and Sanitation,"3 2,516.55"
Guatemala,Ingenieria Y Representaciones S.A.,Communication Equip.,"3 8,371.15"
