Contractor,Cty,Value in €,Purpose of the Purchase Order,Type,Year,Period,Country,Procurement-or-bidding
"INTERNATIONAL SOS UK LTD",GBR,,SHE17015,,2018,Q1Q2,United Kingdom,BIDDING
"INTERNATIONAL SOS UK LTD",GBR,,AHE18004,,2018,Q1Q2,United Kingdom,BIDDING
"INTERNATIONAL SOS UK LTD",GBR,,BBE18005,,2018,Q1Q2,United Kingdom,BIDDING
INTERNATIONAL SOS UK LTD,GBR,,AHE18001,,2018,Q1Q2,United Kingdom,BIDDING
INTERNATIONAL SOS UK LTD,GBR,,BBE17020,,2018,Q1Q2,United Kingdom,BIDDING
INTERNATIONAL SOS UK LTD,GBR,,BBE17021,,2018,Q1Q2,United Kingdom,BIDDING
INTERNATIONAL SOS UK LTD,GBR,,TPA17023,,2018,Q1Q2,United Kingdom,BIDDING
"IQARUS INTERNATIONAL LIMITED",GBR,,TPA18004,,2018,Q1Q2,United Kingdom,BIDDING
IQARUS INTERNATIONAL LIMITED,GBR,,STE18001,,2018,Q1Q2,United Kingdom,BIDDING
LEONARDO MW LTD,GBR,,APL18043,,2018,Q1Q2,United Kingdom,BIDDING
LINCAD LTD,GBR,,TPA17024,,2018,Q1Q2,United Kingdom,BIDDING
MIL POWER LTD,GBR,,TPA17024,,2018,Q1Q2,United Kingdom,BIDDING
AVIATION AND DEFENCE SPARES LTD,GBR,289925,"ENGINE, TURBOFAN TFE731-3D-1C",Orders Awarded,2018,Q1Q2,United Kingdom,PROCUREMENT
BAE SYSTEMS GLOBAL COMBAT SYSTEMS M,GBR,1033645,PURCHASE OF AMMUNITION,Orders Awarded,2018,Q1Q2,United Kingdom,PROCUREMENT
LBA INTERNATIONAL LTD,GBR,273720,SUPPLY OF BALLISTIC PLATES,Orders Awarded,2018,Q1Q2,United Kingdom,PROCUREMENT
MOLECULAR PRODUCTS,GBR,195136,SUPPLY OF OXYGEN GENERATORS,Orders Awarded,2018,Q1Q2,United Kingdom,PROCUREMENT
NIC INSTRUMENTS LTD,GBR,817416,PROVISION OF EOD EQMT,Orders Awarded,2018,Q1Q2,United Kingdom,PROCUREMENT
BAE SYSTEMS SURFACE SHIPS LIMITED,GBR,1801599,DLM AND CM ON S-723 AND S-743D RADARS,Outline Agreement,2018,Q1Q2,United Kingdom,PROCUREMENT
G3 SYSTEMS LTD,GBR,602245,"NSPA KAF OFFICE OPERATIONAL, MAINTENANCE AND CLEANING",Outline Agreement,2018,Q1Q2,United Kingdom,PROCUREMENT
JEPPESEN UK LTD,GBR,2903234,JEPPESEN SUBSCRIPTION SERVICES,Outline Agreement,2018,Q1Q2,United Kingdom,PROCUREMENT
JEPPESEN UK LTD,GBR,3905603,JEPPESEN SUBSCRIPTION SERVICES,Outline Agreement,2018,Q1Q2,United Kingdom,PROCUREMENT
ZF LUFFAHRTTECHNIK GMBH,GEO,,DBA130091V,,2013,Q3Q4,Georgia,BIDDING
EST ENERGETICS GMBH,GEO,,APL13022,,2013,Q3Q4,Georgia,BIDDING
STATE MILITARY SCIENTIFIC AND TECHNICAL CENTRE DELTA,GEO,900000,AREA DECONTAMINATION,Outline Agreement,2014,Q3Q4,Georgia,PROCUREMENT
"HOERNECKE, CHEM FABRIK GMBH",GER,175000,"SUPPLY OF PEPPER SPRAYS, LIVE AND INERT + REFILL MACHINE",Outline Agreement,2017,Q3Q4,Germany,PROCUREMENT
SUNLIGHT SYSTEMS SA,GRC,135141,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2009,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,138750,HAWK SUPPLIES,Orders Awarded,2009,Q1Q2,Greece,PROCUREMENT
SUNLIGHT SYSTEMS SA,GRC,270000,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2009,Q1Q2,Greece,PROCUREMENT
SUNLIGHT SYSTEMS SA,GRC,504000,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2009,Q3Q4,Greece,PROCUREMENT
HELLENIC DEFENCE SYSTEMS SA,GRC,540953,PATRIOT SERVICES,Orders Awarded,2009,Q3Q4,Greece,PROCUREMENT
AEROSERVICES SA,GRC,null,HELICOPTER SERVICES,Outline Agreement,2009,Q3Q4,Greece,PROCUREMENT
AGRIVAL LTD,GRC,null,GREECE - PROVISION OF M71 UNIFORMS,Outline Agreement,2009,Q3Q4,Greece,PROCUREMENT
COSTAS SIAMIDIS SA,GRC,null,GREECE - PROVISION OF M71 UNIFORMS,Outline Agreement,2009,Q3Q4,Greece,PROCUREMENT
ELEFTHERIOS I KOURTALIS SA,GRC,null,GREECE - PROVISION OF M71 UNIFORMS,Outline Agreement,2009,Q3Q4,Greece,PROCUREMENT
ELFIKO SA,GRC,null,GREECE - PROVISION OF M71 UNIFORMS,Outline Agreement,2009,Q3Q4,Greece,PROCUREMENT
ELVITEX SA,GRC,null,GREECE - PROVISION OF M71 UNIFORMS,Outline Agreement,2009,Q3Q4,Greece,PROCUREMENT
MORAGLIS SA,GRC,null,RANDOM BROKERAGE SERVICES,Outline Agreement,2009,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,86580,HAWK SUPPLIES,Orders Awarded,2010,Q3Q4,Greece,PROCUREMENT
SIELMAN SA,GRC,105570,HAWK SUPPLIES,Orders Awarded,2010,Q3Q4,Greece,PROCUREMENT
SIELMAN SA,GRC,134382,HAWK SERVICES,Orders Awarded,2010,Q1Q2,Greece,PROCUREMENT
HELLENIC DEFENCE SYSTEMS SA,GRC,171510,AMMUNITION SUPPLIES,Orders Awarded,2010,Q3Q4,Greece,PROCUREMENT
SUNLIGHT SYSTEMS SA,GRC,200000,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2010,Q3Q4,Greece,PROCUREMENT
SIELMAN SA,GRC,204780,HAWK SERVICES,Orders Awarded,2010,Q3Q4,Greece,PROCUREMENT
SUNLIGHT SYSTEMS SA,GRC,217800,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2010,Q3Q4,Greece,PROCUREMENT
SIELMAN SA,GRC,387630,HAWK SERVICES,Orders Awarded,2010,Q3Q4,Greece,PROCUREMENT
LANADOR SA,GRC,null,BOOTS FOR GREEK ARMY,Outline Agreement,2010,Q3Q4,Greece,PROCUREMENT
SIELMAN SA,GRC,77080,POWER SUPPLY,Orders Awarded,2011,Q3Q4,Greece,PROCUREMENT
SUNLIGHT SYSTEMS SA,GRC,78750,PRIMARY LITHIUM SULFUR DIOXIDE BATT,Orders Awarded,2011,Q3Q4,Greece,PROCUREMENT
SIELMAN SA,GRC,82278,HAWK SERVICES,Orders Awarded,2011,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,86580,HAWK SUPPLIES,Orders Awarded,2011,Q1Q2,Greece,PROCUREMENT
MIETSEL LTD,GRC,94713,POWER SUPPLY,Orders Awarded,2011,Q3Q4,Greece,PROCUREMENT
SIELMAN SA,GRC,103730,INTAKE AIR CLEANERS,Orders Awarded,2011,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,105570,HAWK SUPPLIES,Orders Awarded,2011,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,127100,"SUPPLY OF WIRING HARNESS, CABLE ASSEMBLY",Orders Awarded,2011,Q3Q4,Greece,PROCUREMENT
HELLENIC AEROSPACE INDUSTRY LTD,GRC,140232,BATTERY PACKS,Orders Awarded,2011,Q1Q2,Greece,PROCUREMENT
SUNLIGHT SYSTEMS SA,GRC,142500,BATTERIES,Orders Awarded,2011,Q3Q4,Greece,PROCUREMENT
HELLENIC DEFENCE SYSTEMS SA,GRC,171510,AMMUNITION SUPPLIES,Orders Awarded,2011,Q1Q2,Greece,PROCUREMENT
SUNLIGHT SYSTEMS SA,GRC,200000,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2011,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,204780,HAWK SERVICES,Orders Awarded,2011,Q1Q2,Greece,PROCUREMENT
SUNLIGHT SYSTEMS SA,GRC,217800,STORAGE BATTERIES,Orders Awarded,2011,Q1Q2,Greece,PROCUREMENT
SUNLIGHT SYSTEMS SA,GRC,217800,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2011,Q1Q2,Greece,PROCUREMENT
APELLA SA,GRC,253000,PNEUMATIC TYRES,Orders Awarded,2011,Q1Q2,Greece,PROCUREMENT
SUNLIGHT SYSTEMS SA,GRC,300000,"BATTERY, STORAGE",Orders Awarded,2011,Q3Q4,Greece,PROCUREMENT
SIELMAN SA,GRC,387630,HAWK SERVICES,Orders Awarded,2011,Q1Q2,Greece,PROCUREMENT
MORAGLIS SA,GRC,410406,"TIRE, PNEUMATIC, VEHICULAR (235X85R",Orders Awarded,2011,Q3Q4,Greece,PROCUREMENT
SIELMAN SA,GRC,478725,SUPPLY OF DIESEL ENGINES,Orders Awarded,2011,Q3Q4,Greece,PROCUREMENT
MORAGLIS SA,GRC,948036,"TIRE, PNEUMATIC, VEHICULAR (900X20)",Orders Awarded,2011,Q3Q4,Greece,PROCUREMENT
SIELMAN SA,GRC,102000,SERVICES FOR HAWK,Orders Awarded,2012,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,102000,SERVICES FOR HAWK,Orders Awarded,2012,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,111000,SERVICES FOR HAWK,Orders Awarded,2012,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,111000,SERVICES FOR HAWK,Orders Awarded,2012,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,111000,SERVICES FOR HAWK,Orders Awarded,2012,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,114500,SERVICES FOR HAWK,Orders Awarded,2012,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,132000,SERVICES FOR HAWK,Orders Awarded,2012,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,132000,SERVICES FOR HAWK,Orders Awarded,2012,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,132000,SERVICES FOR HAWK,Orders Awarded,2012,Q1Q2,Greece,PROCUREMENT
SCANDINAVIAN AVIONICS GREECE SA,GRC,218000,REPAIR AND RETURN OF AS-332 AND BK- 117 HELICOPTER COMPONENTS,Outline Agreement,2012,Q1Q2,Greece,PROCUREMENT
SUNLIGHT SYSTEMS SA,GRC,279000,PURCHASE OF BATTERIES FOR SPIKE COMMAND & LAUNCH UNITS,Orders Awarded,2012,Q3Q4,Greece,PROCUREMENT
HELLENIC DEFENCE SYSTEMS SA,GRC,350000,PATRIOT MISSILE MAINTENANCE (GMADF),Outline Agreement,2012,Q3Q4,Greece,PROCUREMENT
SIELMAN SA,GRC,368250,OHC DIESEL ENGINES,Orders Awarded,2012,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,392500,PURCHASE OF YIG FILTER  BAND PASS,Orders Awarded,2012,Q3Q4,Greece,PROCUREMENT
MORAGLIS SA,GRC,480000,TIRE  PNEUMATIC  VEHIC,Orders Awarded,2012,Q1Q2,Greece,PROCUREMENT
HELLENIC AEROSPACE INDUSTRY LTD,GRC,500000,OSM SERVICES FOR RSRP EQUIPMENT IN GREECE.,Outline Agreement,2012,Q3Q4,Greece,PROCUREMENT
SUNLIGHT SYSTEMS SA,GRC,646800,BATTERY,Orders Awarded,2012,Q3Q4,Greece,PROCUREMENT
GIAKOUMAKIS J&G SA,GRC,945000,SUPPLY OF CHROME TANNED CATTLE HIDE FACE,Orders Awarded,2012,Q1Q2,Greece,PROCUREMENT
INTRACOM DEFENSE ELECTRONIC SYSTEMS,GRC,4000000,R&R FOR PATRIOT GROUD SUPPORT EQUIPMENT,Outline Agreement,2012,Q1Q2,Greece,PROCUREMENT
AEROSERVICES SA,GRC,6000000,CAMO/ AMO HELLENIC POLICE & CAMO/ AMO HELLENIC FIRE BRIGADE,Outline Agreement,2012,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,88027,PROD.OF PANEL EXTENDED_SITE ZIROS,Orders Awarded,2013,Q3Q4,Greece,PROCUREMENT
PLAN AERO SA,GRC,166290,SUPPLY OF HOUSING ASSY LH  HOUSING ASSY RH O-RING SET AND GAS CYLINDER HIGH P,Orders Awarded,2013,Q3Q4,Greece,PROCUREMENT
MIETSEL SA,GRC,212418,SUPPLY OF STATOR GENERATOR FOR KT1T AIRCRAFT,Orders Awarded,2013,Q3Q4,Greece,PROCUREMENT
SSA SA,GRC,500000,OSM ON RSRP,Outline Agreement,2013,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,750000,MAINTENANCE OF SATCOM AIRCONDITIONING SYSTEMS,Outline Agreement,2013,Q1Q2,Greece,PROCUREMENT
MIETSEL SA,GRC,879640,SUPPLY OF 20 EA DISK ASSEMBLY P/N: C20335000/B,Orders Awarded,2013,Q3Q4,Greece,PROCUREMENT
HELLENIC DEFENCE SYSTEMS SA,GRC,2250000,SERVICES FOR PATRIOT MISSILES,Outline Agreement,2013,Q3Q4,Greece,PROCUREMENT
MORAGLIS SA,GRC,,DCO13038,,2013,Q3Q4,Greece,BIDDING
HSS – KANK A.E./A.S.,GRC,,PIO13164,,2013,Q3Q4,Greece,BIDDING
SIELMAN SA,GRC,100875,MAIN BEARING REPLACEMENT,Orders Awarded,2014,Q3Q4,Greece,PROCUREMENT
KANK SA,GRC,113213,MANUAL PALETTE JACK  CAPACITY 1-2 TON,Orders Awarded,2014,Q3Q4,Greece,PROCUREMENT
SIELMAN SA,GRC,117600,CABLE AND CONDUIT ASSEMBLY ELECTRICAL,Orders Awarded,2014,Q3Q4,Greece,PROCUREMENT
MIETSEL SA,GRC,130056,SPARE PARTS KIT FOR DISK DRIVE,Orders Awarded,2014,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,170400,CIRCUIT CARD ASSEMBLY,Orders Awarded,2014,Q3Q4,Greece,PROCUREMENT
PLAN AERO SA,GRC,229800,VALVE ASSY,Orders Awarded,2014,Q1Q2,Greece,PROCUREMENT
SYSTEMS SUNLIGHT SA,GRC,240000,PROCUREMENT OF BATTERIES FOR SPIKE,Outline Agreement,2014,Q3Q4,Greece,PROCUREMENT
COSTAS SIAMIDIS SA,GRC,387000,PROVISIONS OF UNIFORMS,Orders Awarded,2014,Q3Q4,Greece,PROCUREMENT
INTRACOM DEFENSE ELECTRONIC SYSTEMS,GRC,466368,CIRCUIT CARD ASSEMBLY,Orders Awarded,2014,Q1Q2,Greece,PROCUREMENT
INTRACOM DEFENSE ELECTRONIC SYSTEMS,GRC,510000,POWER CABLE KIT,Orders Awarded,2014,Q1Q2,Greece,PROCUREMENT
CHEMO HELLAS SA,GRC,813000,SPECIAL TYPE G48,Orders Awarded,2014,Q1Q2,Greece,PROCUREMENT
CYCLON HELLAS SA,GRC,873917,SAE 80W90 GEAR LUBRICATING OIL,Orders Awarded,2014,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,1300000,HAWK DEPOT LEVEL MAINTENANCE,Outline Agreement,2014,Q1Q2,Greece,PROCUREMENT
SIELMAN SA,GRC,2150000,HAWK DEPOT LEVEL MAINTENANCE,Outline Agreement,2014,Q1Q2,Greece,PROCUREMENT
SIELMAN S.A.,GRC,,CHR14006,,2014,Q1Q2,Greece,BIDDING
MORAGLIS SA,GRC,,SMA14002,,2014,Q1Q2,Greece,BIDDING
KANK SA,GRC,,PIO14013,,2014,Q1Q2,Greece,BIDDING
MORAGLIS SA,GRC,,ELK14070,,2014,Q1Q2,Greece,BIDDING
THEON SENSORS SA,GRC,,MNE140030A,,2014,Q3Q4,Greece,BIDDING
MORAGLIS SA,GRC,,SMA14024,,2014,Q3Q4,Greece,BIDDING
SYSTEMS SUNLIGHT S.A.,GRC,,JAF14135,,2014,Q3Q4,Greece,BIDDING
KANK SA,GRC,,JDV14092,,2014,Q3Q4,Greece,BIDDING
AEROSERVICES SA,GRC,,ANH14036,,2014,Q3Q4,Greece,BIDDING
SYSTEMS SUNLIGHT S.A.,GRC,,SMA14031,,2014,Q3Q4,Greece,BIDDING
SIELMAN SA,GRC,117600,CABLE AND CONDUIT ASSEMBLY ELECTRICAL,Orders Awarded,2015,Q1Q2,Greece,PROCUREMENT
LPC SA,GRC,124548,GRADE 40 O 278  MIL - PRF 9000K LUBRICATING OIL,Orders Awarded,2015,Q3Q4,Greece,PROCUREMENT
LPC SA,GRC,259475,GRADE 40 O 278  MIL - PRF 9000K LUBRICATING OIL,Orders Awarded,2015,Q3Q4,Greece,PROCUREMENT
SYSTEMS SUNLIGHT SA,GRC,400000,BATTERIES,Outline Agreement,2015,Q3Q4,Greece,PROCUREMENT
KANK SA,GRC,,PIO15008,,2015,Q1Q2,Greece,BIDDING
KANK SA,GRC,,DCO15022,,2015,Q3Q4,Greece,BIDDING
MIETSEL SA,GRC,88762,SUPPLY OF FILTER RFI,Orders Awarded,2016,Q3Q4,Greece,PROCUREMENT
SIELMAN SA,GRC,150390,SUPPLY OF SPARES FOR HAWK,Orders Awarded,2016,Q3Q4,Greece,PROCUREMENT
MIETSEL SA,GRC,188400,TIREPNEUMATICAIRCRAFT,Orders Awarded,2016,Q1Q2,Greece,PROCUREMENT
TUEV HELLAS (TUEV NORD) SA,GRC,204000,CERTIFICATION OF PZH2000 PRESSURE VESSELS &  SAFETY VALVES,Outline Agreement,2016,Q3Q4,Greece,PROCUREMENT
ATCOR,GRC,361640,RSRP RELOCATION PROJECT,Orders Awarded,2016,Q3Q4,Greece,PROCUREMENT
COSTAS SIAMIDIS SA,GRC,460980,CAMOUFLAGE FIELD COATS - M,Outline Agreement,2016,Q1Q2,Greece,PROCUREMENT
NAMFI,GRC,850000,PROVISION OF A STINGER FIRING RANGE,Outline Agreement,2016,Q3Q4,Greece,PROCUREMENT
INTRACOM DEFENSE ELECTRONIC SYSTEMS,GRC,1321829,INTERCOM SET,Orders Awarded,2016,Q3Q4,Greece,PROCUREMENT
GREEK PORT SERVICES  LTD,GRC,,BBE15900,,2016,Q1Q2,Greece,BIDDING
COSTAS SIAMIDIS SA,GRC,,TPA16009,,2016,Q3Q4,Greece,BIDDING
MORAGLIS SA,GRC,,ELK16039,,2016,Q3Q4,Greece,BIDDING
ELVE SA,GRC,,ELK16039,,2016,Q3Q4,Greece,BIDDING
MIETSEL SA,GRC,,BBE16012,,2016,Q3Q4,Greece,BIDDING
INTRACOM DEFENSE ELECTRONIC SYSTEMS,GRC,,BBE16012,,2016,Q3Q4,Greece,BIDDING
EUROPEAN FINANCE & AEROSPACE,GRC,5313823,LEASE OF 7 MEDIUM LIFT FIREFIGHTING HELICOPTERS,Orders Awarded,2017,Q3Q4,Greece,PROCUREMENT
SIELMAN SA,GRC,248250,SUPPLY OF TRANSDUCER PRESSURE AND PUMP HYDRAULIC ELEC. (SPARE PARTS) FOR HAWK SYSTEM,Orders Awarded,2017,Q3Q4,Greece,PROCUREMENT
SIELMAN SA,GRC,427680,"SUPPLY OF CIRCUIT CARD ASSEMBLIES, CONTROLLER MOTOR (SPARE PARTS) FOR HAWK SYSTEM",Orders Awarded,2017,Q3Q4,Greece,PROCUREMENT
SIELMAN SA,GRC,149905,SUPPLY OF SPARE PARTS FOR HAWK SYSTEM,Orders Awarded,2017,Q3Q4,Greece,PROCUREMENT
HELLENIC AEROSPACE INDUSTRY LTD,GRC,,JLA16A080,,2017,Q1Q2,Greece,BIDDING
MORAGLIS SA,GRC,,SHE17002,,2017,Q1Q2,Greece,BIDDING
MAXIM-KALTSIDIS SA,GRC,,ABO17001,,2017,Q1Q2,Greece,BIDDING
EUROTRADE SA,GRC,,MNE17019,,2017,Q1Q2,Greece,BIDDING
EUROPEAN FINANCE & AEROSPACE,GRC,,FAN17003,,2017,Q1Q2,Greece,BIDDING
ALTUS LSA SA,GRC,,GRA17041,,2018,Q1Q2,Greece,BIDDING
"ENESOL SOLE SHAREHOLDER CO. LTD",GRC,,JBR17X016,,2018,Q1Q2,Greece,BIDDING
EUROPEAN FINANCE & AEROSPACE,GRC,,FAN18008,,2018,Q1Q2,Greece,BIDDING
MORAGLIS SA,GRC,,ABO18004,,2018,Q1Q2,Greece,BIDDING
MORAGLIS SA,GRC,,SHE18003,,2018,Q1Q2,Greece,BIDDING
SYSTEMS SUNLIGHT SA,GRC,,TPA17024,,2018,Q1Q2,Greece,BIDDING
"ULYSSES AVIATION SERVICES LTD",GRC,,FAN18008,,2018,Q1Q2,Greece,BIDDING
SIELMAN SA,GRC,114095,SUPPLY OF GEARCASE-MOTOR AND MOUNTING PAD (SPARE PARTS) FOR HAWK SYSTEM,Orders Awarded,2018,Q1Q2,Greece,PROCUREMENT
BRODTROGIR DD SHIPYARD TROGIR,HRV,247000,REFIT OF ENS WAMBOLA - PHASE I,Outline Agreement,2014,Q3Q4,Croatia,PROCUREMENT
AGENCIJA ALAN d.o.o.,HRV,,ELK14070,,2014,Q1Q2,Croatia,BIDDING
DUING DOO,HRV,698000,PROPULSION ENGINE MTU 16V 2000 M61,Orders Awarded,2015,Q1Q2,Croatia,PROCUREMENT
GALEB DD,HRV,,ELK16039,,2016,Q3Q4,Croatia,BIDDING
GALEB DD,HRV,4955100,SUPPLY OF UNDERWEAR (DRAWERS & SHIRTS),Orders Awarded,2017,Q1Q2,Croatia,PROCUREMENT
HIDEPITO C LTD,HUN,109467,C-17 PROJECT SERVICES,Orders Awarded,2009,Q1Q2,Hungary,PROCUREMENT
PORSCHE HUNGARIA KERESKEDELMI KFT,HUN,110608,C-17 PROJECT SUPPLIES,Orders Awarded,2009,Q1Q2,Hungary,PROCUREMENT
PEUGEOT VEKTOR CAR KFT,HUN,129941,C-17 PROJECT SUPPLIES,Orders Awarded,2009,Q1Q2,Hungary,PROCUREMENT
STRABAG LTD,HUN,142300,C-17 SERVICES,Orders Awarded,2009,Q3Q4,Hungary,PROCUREMENT
TOMA-BAU LTD,HUN,157972,C-17 PROJECT SERVICES,Orders Awarded,2009,Q1Q2,Hungary,PROCUREMENT
VIV LTD,HUN,251015,C-17 SERVICES,Orders Awarded,2009,Q3Q4,Hungary,PROCUREMENT
VIV LTD,HUN,702146,C-17 SERVICES,Orders Awarded,2009,Q3Q4,Hungary,PROCUREMENT
HIDEPITO C LTD,HUN,1211242,C-17 SERVICES,Orders Awarded,2009,Q3Q4,Hungary,PROCUREMENT
STRABAG LTD,HUN,2847617,CONSTRUCTION,Orders Awarded,2009,Q3Q4,Hungary,PROCUREMENT
ATCO FRONTEC,HUN,null,KAF RLS PROJECT SERVICES,Outline Agreement,2009,Q3Q4,Hungary,PROCUREMENT
SIGNAL TELEFONTECHNIKA KFT,HUN,null,C-17 SERVICES,Outline Agreement,2009,Q3Q4,Hungary,PROCUREMENT
ATCO FRONTEC,HUN,null,CONTRACTOR LOGISTICS SUPPORT,Outline Agreement,2010,Q3Q4,Hungary,PROCUREMENT
ATCO FRONTEC,HUN,null,WATER SERVICES,Outline Agreement,2010,Q3Q4,Hungary,PROCUREMENT
ATCO FRONTEC,HUN,null,APOD FR FIRE CRASH AND RESCUE SERVICE,Outline Agreement,2010,Q3Q4,Hungary,PROCUREMENT
COMBAT TRADING LTD,HUN,null,RIFLE UPGRADES,Outline Agreement,2010,Q1Q2,Hungary,PROCUREMENT
ATCO FRONTEC,HUN,479313,KAF RLS PROJECT SERVICES,Orders Awarded,2011,Q1Q2,Hungary,PROCUREMENT
SKY-SOFT LTD,HUN,99324,PURCHASE OF VAX EMULATION SPARES FOR THE FPS-117,Orders Awarded,2012,Q3Q4,Hungary,PROCUREMENT
SKY-SOFT LTD,HUN,150000,DLM  OSM  PDS SUPPORT OF VAX EMULATION EQUIPMENT,Outline Agreement,2012,Q3Q4,Hungary,PROCUREMENT
STRABAG ZRT,HUN,264480,INSTALLATION OF OFFICE CONTAINER FACILITY,Orders Awarded,2012,Q3Q4,Hungary,PROCUREMENT
ATCO FRONTEC,HUN,7264517,FIRE PROTECTION MUSTANG RAMP,Outline Agreement,2012,Q3Q4,Hungary,PROCUREMENT
XELESS KFT,HUN,162798838,JINGLE TRUCKS,Outline Agreement,2012,Q3Q4,Hungary,PROCUREMENT
BHE BONN HUNGARY ELECTRONICS LTD,HUN,100000,4 CHANNEL MONOPULSE ANTENNA,Orders Awarded,2013,Q1Q2,Hungary,PROCUREMENT
AEROPLEX OF CENTRAL EUROPE LTD,HUN,115000,NDT SERVICES,Outline Agreement,2013,Q3Q4,Hungary,PROCUREMENT
STRABAG BUILDER CO. LTD.,HUN,213476,PROVISION OF CONSTRUCTION SERVICES FOR THE APRON M MODIFICATION (APRON M) AT PAPA AIR BASE,Orders Awarded,2013,Q3Q4,Hungary,PROCUREMENT
MILIPOL CORPORATION,HUN,,ELK13056,,2013,Q3Q4,Hungary,BIDDING
MAGYAR TELEKOM TAVKOZLESI NYRT,HUN,90892,MOBILE VOICE AND DATA SERVICES,Orders Awarded,2014,Q1Q2,Hungary,PROCUREMENT
MARKET EPITO ZRT,HUN,141775,SAC HANGAR COMPLEX SITE PREP. (PH1),Orders Awarded,2014,Q3Q4,Hungary,PROCUREMENT
EPTI ARCHITECTURAL AND ENGINEERING,HUN,183319,PAPA AATCT A&E - PRELIMINARY DESIGN,Orders Awarded,2014,Q3Q4,Hungary,PROCUREMENT
MARKET EPITO ZRT,HUN,220936,SAC HANGAR COMPLEX SITE PREPARATION,Orders Awarded,2014,Q1Q2,Hungary,PROCUREMENT
MILIPOL KFT,HUN,550000,UZB BXP MHE PROVISION,Orders Awarded,2014,Q1Q2,Hungary,PROCUREMENT
STRABAG-MML KFT,HUN,571572,SECURITY FENCE PH1 - CONSTRUCTION,Orders Awarded,2014,Q3Q4,Hungary,PROCUREMENT
ATCO FRONTEC,HUN,917076,FIRE PROTECTION SERVICE CNS - 2015,Outline Agreement,2014,Q3Q4,Hungary,PROCUREMENT
KESZ KOZEP EUROPAI EPITO ES,HUN,25796873,SAC HANGAR PH2 EXTERNAL WORKS,Orders Awarded,2014,Q3Q4,Hungary,PROCUREMENT
XELESS KFT,HUN,,STO140001,,2014,Q1Q2,Hungary,BIDDING
XELESS KFT,HUN,,STO140001A,,2014,Q1Q2,Hungary,BIDDING
BB ENERGY TRADING LTD,HUN,,BRN140001,,2014,Q1Q2,Hungary,BIDDING
ATCO FRONTEC,HUN,,SDB140004,,2014,Q3Q4,Hungary,BIDDING
MILIPOL CORPORATION,HUN,,MYT14004,,2014,Q3Q4,Hungary,BIDDING
MARKET ETPITO ZRT,HUN,,MOK140009,,2014,Q3Q4,Hungary,BIDDING
STRABAG-MML KFT,HUN,,MOK140009,,2014,Q3Q4,Hungary,BIDDING
KESZ EPITO ES SZERELO ZRT,HUN,,MOK140009,,2014,Q3Q4,Hungary,BIDDING
S&T CONSULTING HUNGARY LTD,HUN,,TPA14AO015,,2014,Q3Q4,Hungary,BIDDING
S&T CONSULTING HUNGARY LTD,HUN,87424,UNINTERRUPTIBLE POWER SUPPLY (UPS) RACK,Orders Awarded,2015,Q3Q4,Hungary,PROCUREMENT
UVATERV LTD,HUN,102319,SAC HANGAR COMPLEX - ADD. DESIGN TASKS,Orders Awarded,2015,Q3Q4,Hungary,PROCUREMENT
MANPOWER MUNKAERO SZERVEZESI KFT,HUN,211834,NAMP TEMPORARY MANPOWER SUPPORT SERVICE,Outline Agreement,2015,Q3Q4,Hungary,PROCUREMENT
SAG-EPITO ZRT,HUN,354487,TRANSIENT HAZMAT STORAGE CONSTRUCTION,Orders Awarded,2015,Q1Q2,Hungary,PROCUREMENT
MAGYAR TELEKOM TAVKOZLESI NYRT,HUN,373654,GSM MOBILE DATA & VOICE SERVICES,Outline Agreement,2015,Q1Q2,Hungary,PROCUREMENT
EPTI ARCHITECTURAL AND ENGINEERING,HUN,1000000,ARCHITECTAL &ENGINEERING SERVICES,Outline Agreement,2015,Q1Q2,Hungary,PROCUREMENT
